"","Ox_m_TC1_Slot2-5_1_3807","Ox_m_TC2_Slot2-6_1_3798","Ox_m_TC3_Slot2-7_1_3804","Ox_f_TC_Slot2-8_1_3796"
"Mapk3",3818.47801885517,6612.60908752055,3863.39265795668,NA
"Hsp90ab1;Hsp90b1",10913.7,11657.8,12623.1,NA
"Bag3",5436.65,5963.85,3853.06,NA
"Depdc7",11561.3811774137,12797.1639626118,15286.882835878,10947.9886385966
"U2af2",6082.48,6922.74,5101.75,8138.73999999999
"Cdc42ep2",NA,NA,4963.37,NA
"Abr",2961.88268468017,6405.96987050104,2532.2615049864,2711.69812318103
"Pcmt1",3210.33,NA,NA,6130.02999999999
"Acads",12411,7763.9,11321,6616.84
"Tmpo",36400.5931983807,31094.2409790774,38936.4752764195,28877.3214754866
"Fermt2",17747.5430106958,17620.5820627168,16157.7615946816,17928.9695550919
"Slitrk2",3589.58,2711.06,3250.17,4289.72
"Gsn",13085.4855907533,11246.4444116967,8343.72243115662,10461.7524582403
"Myh14",27200,34698.2,25975.9,NA
"Rrbp1",3078.94,NA,4546.76,2441.33
"Trim12a",9702.75152811676,8090.33340694984,6255.86508040992,5898.6719500749
"Snca",34647.1222300744,41617.4542485855,42557.2958168484,NA
"Septin5",5332.55738303107,6029.66789597633,9024.50442975292,9108.63584291471
"Pcbp1;Pcbp2;Pcbp3",9367.77228984096,12280.3219630184,10963.8881699481,NA
"Mdh2",10360.6509440598,8615.77562212024,7798.10833157392,10779.7493735217
"Znf207",2678.38,5705.88,3631.98,4651.26
"Acin1",28149.7320785824,27914.2698598188,46737.4458978348,32119.7833816942
"Tln1;Tln2",19156.6693026848,20350.1192856813,16222.7120116358,16485.6801626448
"Rps2",4679.38071922679,7713.50705224916,5326.6925712493,8673.08539155897
"Vcp",6241.71117347872,5903.0002723939,6586.70579650256,8160.27349048157
"Mvp",1733.57,NA,NA,NA
"Eef1a1",22977.7839569714,40933.5082146402,23222.537010291,60833.6770151105
"Niban2",10003.9751540965,10410.302670611,7079.33418123084,12562.985044112
"Msn",6617.57,3430.75,4828.69,NA
"Comt",40928.7105909132,35730.8588890521,36421.2782907487,NA
"Nefh;Nefl;Nefm;Vim",332222,270164,273834,NA
"Krt6a;Krt75;Krt76",55278.8,78004.3,21956.6,NA
"Actn1;Actn2;Actn3;Actn4",4128.63,4115.44,NA,4279.14
"Gls",15583.464397444,17322.8733448846,15972.9002347635,17346.4276734596
"Acat1",18544.6999998435,18093.5518570693,22613.565319443,16307.2652737142
"Krt1;Krt2;Krt4;Krt5;Krt6a;Krt71;Krt73;Krt75;Krt76;Krt79",573976,470246,156456,NA
"Wipi2",9766.26195634858,9984.64814745405,10943.4999999124,11720.7090181942
"Hnrnpab;Hnrnpdl",NA,NA,9127.48,8582.6
"Hnrnpd",8596.88102385833,9850.55244422207,7793.20938498683,NA
"Cttn",23664.5764757111,25666.3780260497,28206.424317821,22154.7024392731
"Ldhb",2687.68,6463.42714778615,1151.10999999635,9495.75397021897
"Krt4;Krt5;Krt6a;Krt75;Krt76;Krt79;Vim",267630,285929,177897,NA
"Krt1;Krt71;Krt73",2299020,2371370,776981,NA
"Eif4g2",NA,2939.84941000759,6590.82936501611,4646.73106440577
"Decr1",5662.13090416942,5923.64932552205,10113.5681048514,3643.60688034378
"Sarnp",5506.19999995968,3808.49999997211,4508.57999996698,5907.10999995672
"Smarcd1;Smarcd3",6509.11,13115.2,10211,9396.01000000001
"Lrpprc",NA,3465.86,4848.51,3549.09
"Hnrnpl",8305.76605959342,5944.97111634151,7208.84679377208,8136.90829427392
"Limch1",NA,NA,9846.51999999999,NA
"Nefl",19230.4615919097,24359.4543139636,19202.3330987854,25398.5738466738
"Las1l",14820.4258312111,13390.5450234337,15201.3894286191,15521.0044321245
"Fau",84554.6,95268.5,82379.9,NA
"Oxct1",8216.82000000001,8081.46000000001,5961.7,6447.59
"Gapdh",16535.3210739964,16524.5884770884,14416.2534972183,17745.7419688919
"Flna",9559.87320124821,10704.0147517582,10813.1875454835,11258.3221470689
"Eif3c",NA,10463.9128835657,9697.94370809099,4491.83550634503
"Pgk1",13216.7239946333,23242.0197569883,8394.12322845181,26198.6589482281
"H2az1;H2az2",1613.4,NA,3340.38,NA
"Col1a2",10605.6060495837,71174.9023048816,10638.1850367358,3076.49755579134
"Cpsf6",NA,NA,20240.9,NA
"Col1a1",11910.5999999163,82740.0999994186,14282.2999998996,NA
"Lasp1",24445.2266376119,21038.1567762326,22888.223423644,25672.3565490481
"Clic1",8407.91910081942,9645.38563516824,8255.00881112395,9129.80936776295
"Chmp4b",15420.4020213016,19483.6470477086,12808.4916635663,17158.1288276238
"Efnb1",4472.07,3476.46,3121.83,NA
"Ubap2l",NA,NA,4914.94,NA
"Acsf2",3840.26,4011.35,2494.43,3623.52
"Pygb",16037.936856823,12084.470303774,17532.8853624758,15118.5592459661
"Aldoa",4380.50443270333,9386.15797002707,9079.68711072438,6198.6195876707
"H1-2",NA,NA,14069.1,NA
"Acot1",18917.7659760609,15713.7326559899,14826.5999999103,NA
"Hnrnph1",NA,NA,4234.21,NA
"Eif4g1",5503.35495824331,5930.67315937496,7500.59859124431,5904.36389019077
"Srcin1",14666.2679723031,14051.6224672772,15815.4956128718,16228.4634209155
"Add3",17524.4385463908,14587.05585077,17176.9433309891,14135.5528031003
"Eif5",2906.62,5312.7,5495.59,5402.05
"Dsp",25858.7119159688,29647.5765560706,9391.84941991063,8862.27164610061
"Cs",26222.7007931285,28213.6186539639,30486.2496824407,NA
"Ythdf3",855.878,5091.61,NA,NA
"Vapb",3451.23019265764,NA,NA,4975.54865445138
"Tnks1bp1",4994.91317953685,5864.56944215567,4557.75176487519,7111.0270482576
"Hcfc1",13504.4243237181,15731.8428482898,18076.39493461,18726.4999998436
"Nudc",5477.89778058839,5526.18057293762,4876.24074662538,10365.4579645234
"Tgm1",1742.72,NA,NA,NA
"Hibadh",NA,NA,2338.23,NA
"Aqp4",NA,NA,5838.27,NA
"H1-2;H1-4;H1-5",351709,740774,441942,NA
"Rplp0",7257.97524004728,13840.375651191,7872.72283741235,14183.6443601994
"H1-4;H1-5",335436,780641,488845,NA
"Eps15l1",11572.8392931169,11994.8174385205,12677.8830290711,10458.227743264
"Anxa5",9750.11410374452,8735.36444262763,7589.52999993998,12169.279695777
"Anxa1",18243.1685506603,28327.9620127488,2647.50999998029,12540.9764157621
"Fasn",4164.53495977434,2862.68914662611,3230.67517689322,NA
"Pdap1",14239.6488257902,17824.9747601222,19121.329084878,17086.8545105254
"H1-0",2746830.13964399,4489867.14904467,3164860.32354645,NA
"Trap1",18843,25148.1,18437.9,NA
"Cast",11815.1164450839,9708.51879863436,10854.8559750808,7908.92354297681
"Eef1d",14613.451660012,18092.4581755151,14106.9589297729,19068.9889630403
"Ctnnd1",NA,3565.3,2514.2,NA
"Krt5",114068.232268,146134.389412481,35710.3608649924,23998.3590262519
"Hsp90ab1",13697.4999999134,22043.2302712937,17178.8605065907,NA
"Bcas3",7699.83130531953,7012.74574248438,7865.99284172135,7487.29809535205
"Gstm5",NA,NA,8275.52000000001,NA
"Got2",1903.53,2176.82,3400.58,NA
"Ranbp2",8826.23728413839,6681.66513067567,7428.83140029618,7968.36770903193
"Mpp1",NA,NA,4751.77,NA
"Itpr3",NA,NA,NA,3094.53
"Ezr",NA,NA,8915.27,NA
"Rpl7",8152.13999999999,6748.59,9567.69,NA
"Abcd3",NA,NA,3263.24,NA
"IntS13",NA,NA,NA,2547.29
"Hdlbp",NA,NA,3122.52,4606.85
"Adh5",NA,NA,NA,995376.999999999
"Hnrnpa2b1",128716.472197705,103482.902606618,117611.317711147,143534.42560722
"Rpl4",8192.88873753041,7544.89428382702,8864.65417983013,8448.24076131883
"Irf2bp1",18158.5,17511.2,15333.4,16383.7
"Txnrd1",8926.40499024889,7709.49079172483,7202.69147105436,9436.02936584661
"Hnrnpa1",122708.862380504,223637.712568659,132995.894903515,203509.363216581
"Arfgap1",7401,6074.68,11642.8,7006.15
"Sntb2",7283.9,6561.44999999999,6695.45,7582
"Hnrnpa1;Hnrnpa3",40173.2,34275.6,35829.9,NA
"Eef1a1;Eef1a2",48926.4332472265,56473.900208613,53330.7616356338,54939.4349868198
"Fubp1",6974.77679283312,6342.59567154483,7634.84615573889,5363.546562088
"Cluh",NA,NA,18421,NA
"D1Pas1;Ddx3x;Ddx3y",11988.2323932977,11965.7702475989,10694.4159081945,11366.7781014278
"Isg15",NA,NA,6955.57,NA
"Gucy1a1",5046.88,4027.38,5361.47,5604.62
"Tgoln1",7590.88798394809,12014.4660411302,11318.909367226,11922.2376068017
"Ppa2",NA,3734.88672138192,3920.54158001622,2810.03643098752
"Rps8",7313.57306124957,10816.5266579949,5496.93817844136,6838.93621082641
"Cse1l",NA,NA,281912,NA
"Hspa12a",NA,NA,1700.41,NA
"Hspa5;Hspa8",16115.9529144878,17930.9686502897,14434.7897575375,19040.9262137936
"Hspa1a;Hspa1b",NA,3392.54,NA,5053.64
"Tigar",NA,6977.01,5661.77,7024.61000000001
"Pak2",15198.2703090509,16257.4569051029,16194.6877758258,18459.1901938427
"Dlg1",8183.74,6325.7,8602.92999999999,3804.24
"Safb2",9872.67,7532.69,8992.28,NA
"Ermp1",2543.47,NA,NA,3063.6
"Ppid",5150.66,6047.44,5934.76,8630.65
"Arl3",NA,NA,7473.69000000001,NA
"Plaa",7817.82,7390.62,8002.27000000001,NA
"Rpl18",6435.82217836374,6369.71206059727,7668.32999994229,4586.22999996549
"Srpra",5040.88,4450.55,4517.37,3987.8
"Steap3",NA,NA,4358.66,NA
"Strepta",5862041.71463196,5276819.95738437,4336532.71373316,NA
"Ddt",3918.29,NA,NA,3493.68
"Dync1li1",3104.76,5767.37,4959.56,5382.09
"Pkn2",2861.08213301427,1887.87104478514,6024.4595622027,4627.54830729939
"Trim32",7212.6,NA,5334.86,6824.07
"Acsbg1",6819.22,8413.33,7306.94,7889.29000000001
"Tpm3",10985.3,NA,5021.8,7491.96
"Flot2",4256.6217696273,4581.4960581911,5159.76788485356,7792.07305157128
"Echs1",NA,NA,3281.34,NA
"Fbn1",6162.0200523578,7137.32073525192,9627.8124073266,NA
"Krt13",40023.375723049,53237.8020209963,NA,32388.0094111243
"Hspa5",5332.13414228719,5919.4192069259,5263.96075329228,7408.28024178653
"Mks1",6654.08999996314,NA,5379.06999997019,3933.62999997821
"Rpl22",2529.61,3825.73,2051.82,NA
"Ist1",15059.0676327706,17007.8654862669,13321.9762641339,16348.6479136917
"Dpysl2;Dpysl3",56592.7436257458,53753.2807884975,53147.8446931212,67543.3905575656
"Tomm20",NA,NA,13582.9,NA
"Erbin",4379.78,8701.74,8219.71999999999,7748.10999999999
"Krt73",272707.558678141,251780.048119037,71654.0345855519,43795.8778310625
"Prph;Vim",211309.04709069,190244.728064708,165892.931803053,190165.368246982
"Ppp1r2",22494.1,23243.6,17413.9,NA
"Krt10;Krt13;Krt16;Krt17;Krt35;Krt42",997108,752261,274905,185911
"Slc4a4",30762.9429161365,34973.0543392892,32293.8250029881,39944.8453884155
"Ccar2",9062.92691659185,7068.86999994642,6747.65448956511,8233.77337807603
"Krt4;Krt5;Krt6a;Krt75;Krt76",69975.6,53735.2,28680,10865.6
"Rplp2",462.195,2202.42,NA,1232.22
"Krt13;Krt17",1466060,1695300,539334,NA
"Krt35",28798.9,45748,NA,NA
"Bcat2",NA,3815.21,NA,3959.19
"Pkp1",NA,NA,1975.11,NA
"Ckap5",5248.06000007314,NA,4232.52000005898,NA
"Sipa1",4225.58,3471.65,4728.9,6372.42
"Nap1l1",NA,NA,2098.7,NA
"Trim28",8626.62,7633.53,8864.02000000001,NA
"Ndrg3",3960.54,4501.92,4271.59,5708.62
"Ruvbl1",NA,NA,10383.7,NA
"Ndrg2",12992.8,13892,17613.5,NA
"Rpl36a",8221.15999999999,14507.3,9233.81,NA
"Uchl1",11212.9,12473.2,5694.02,14035.1
"Ampd2",10535.8,NA,11900.2,3813.98
"Nes",5859.70783289762,7902.91726097383,5222.33396812426,3869.25806646243
"Acbd5",10239.4,5349.44,7789.22,2959.51
"Epdr1",9963.12398446846,8686.9299999306,11085.727507007,12527.2383906705
"Gtpbp6",NA,NA,603.381,NA
"Kif5b",4414.85545155032,7617.6223783115,6040.70803596414,7919.60839248182
"Aldh9a1",7076.08737679453,6993.97206230177,6539.05222196856,6549.54131472832
"Dnm1l",NA,2970.49,NA,NA
"Srrm2",5528.42,4784.88,5571.34,5000.76
"Tpd52l2",13495.2752236927,17309.981740098,18195.5259358439,18253.0688558072
"Pxn",4020.39,5431.75,NA,4553.53
"Soga3",2052.31,NA,NA,4129.77
"Gapvd1",NA,NA,6017.14,NA
"Ywhae",NA,4893.5,NA,NA
"Mylk",4628.65927340196,5511.54102527398,5448.18243691755,4851.22222613193
"Rps20",NA,NA,20318.1,NA
"Suclg1",15521.3855368554,15551.6541152055,16620.5884873082,NA
"Gnb1;Gnb2;Gnb4",10121.2843414985,9076.54688142069,8314.36082694174,7134.57429002764
"Exoc4",NA,NA,NA,3557.39
"Vtn",5199.47,NA,6141.59,NA
"Rps3a",10321.0985796059,31984.4835962161,17244.5271564159,27624.7548594221
"Srsf4;Srsf5;Srsf6",NA,NA,14364.3,NA
"Prdx5",8698.54,11272.2,7307.49,NA
"Esyt1",7244.62,5720.13,8784.83,7450.26
"Ap3b1",2484.26,3338.62,3670.88,3631.7
"Igbp1",14320.9647913634,14460.2114617165,16288.5257886491,NA
"Nr3c1",NA,NA,9647.67999999999,4935.97
"Krt2;Krt4;Krt5;Krt6a;Krt73;Krt75;Krt76;Nefh",382020,253096,117048,NA
"Dctn2",5455,7024.21,5632.95,6303.5
"Sars1",17316.39999985,28555.1124505234,20437.0593156184,23173.0803799149
"Rab10;Rab13;Rab15;Rab1A;Rab1b;Rab8a;Rab8b",6685.25,5667.93,5051.33,7514.30000000001
"Gnai2;Gnas",22796,23982.9,19389.9,NA
"Crebrf",191208,85648.7,53621.9,NA
"Dock1",7349.23890249043,5800.3229236488,8342.33674808655,4944.21519762675
"Set",32166.3661097871,33232.3999997052,31647.2999997192,34123.8367005514
"Prrc2c",8312.38,9170.39,11999.6,9393.75
"Tbc1d10a",NA,NA,6764.92000000001,NA
"Oat",8628.11000000001,10124.3,11610.7,9209.29000000001
"Git1",8218.23999993495,11306.4999999105,15195.5999998797,8235.9399999348
"S100a6",NA,NA,9603.60999999999,NA
"Strn",8382.36999993254,10171.1815217014,15596.8566393994,11212.4983637996
"Plin3",19320.8198948066,21007.5051464972,17712.1909991918,17955.542041359
"Atxn2l",10198.3675220415,11844.8253627508,8521.78322880927,8775.45757361281
"Vars1",2709.1,2744.13,NA,5126.26
"Ampd3",NA,NA,11585.7,NA
"Krt19",36405.3,19228.9,15400.1,NA
"Slc16a1",NA,NA,5530.98,NA
"Cdc42ep1",NA,6185.06,5835.11,NA
"Cltc",7040.37740478267,7677.44573958777,5775.81919036928,NA
"Fabp7",NA,NA,8699.50000000001,NA
"Ddhd1",NA,7185.8,11760.8,5763.18
"Dag1",14225.3,11231.8,16029.9,11286
"Rap1gap",NA,NA,NA,4610.25
"Septin9",19322.8902102959,22765.6792609517,19959.2496548413,24725.3520782271
"Ran",7581.05279913763,8097.63306216934,8247.81431287867,9063.75393443932
"Rufy3",12240.8459946592,8258.70999993244,11424.7999999065,12532.3252497762
"Eef1b",16436.1474429294,10619.0983296971,15288.7992847555,NA
"Psma2",1308.8500000158,3235.19000003905,NA,NA
"As3mt",6224.73,6870.47000000001,8045.63,7824.83
"Pcbp2;Pcbp3",33935.1,32054.9,32965,NA
"Rpl27a",27841.4398587111,31511.7765904601,26246.3716208424,22738.3149401381
"Nck1",10389.6179829764,14460.4488706572,7349.38694154884,13820.9883978696
"FAM120A",NA,NA,3821.13,6304.69
"Pebp1",103348.938719554,104853.353858523,103605.677314714,NA
"Ndrg1",11956.9969916933,12105.808033082,10024.8128950164,NA
"Nefh;Nefl;Nefm",9723.43,8326.15000000001,11124.1,9553.17999999999
"Jpt2",NA,NA,2444.85,4837.49
"Fip1l1",4846.12,3369.29,6329.90000000001,5147.62
"Hnrnpc",5722.30122215372,15043.2219253562,8657.07486148059,22433.2134598016
"Khsrp",7921.04113981694,9184.43060872289,8725.28387763921,9927.03038164508
"Baz2a",48184.4,37408.9,43957.8,37973.7
"Rab3c",NA,NA,2495.07,2843.99
"Krt17;Krt42",584641.33830223,754944.773896953,200533.726909362,101683.077604865
"Lpp",3677.53183284169,4916.92719989454,4220.44683191577,5304.97040954368
"Steep1",NA,NA,3470.14,NA
"Rpl7a",5210.83434193497,3323.6551532247,6386.62924968206,5714.90763445767
"Ak2",NA,NA,4401.63,NA
"Idh1;Idh2",12243,NA,10574.5,10231.5
"Dync1li2",4251.10318960035,4726.33279340621,4507.04211523229,4048.38599421871
"Tmprss13",NA,NA,22127,NA
"Krt5;Krt79",65915.7,78643.6,14214.7,8043
"Krt79",789417,421866,212371,NA
"Krt71",10764,NA,NA,NA
"Krt75",49503.0701851469,97224.3809361937,NA,14884.4999998792
"Tom1l2",4657.3551555876,4589.17684012679,4468.62580712331,5827.81694794012
"Kpna3;Kpna4",NA,NA,NA,6663.49999999999
"Top2b",3008.56,3084.82,NA,2590.59
"Gzmk",NA,NA,8281.51999999999,NA
"Rpl12",NA,3089.95,432.443,NA
"Sh3gl1",4113.7979850802,8071.07769806473,7777.56597759958,7507.76610221651
"Gspt1;Gspt2",17122.368820777,18581.307425884,17249.2714949188,16475.422161999
"Cend1",16536.2029743508,18773.1603760247,16949.782180684,NA
"Sncb;Sncg",125632,163322,173836,NA
"Prdx2",25634.4,24464.3,12773.3,NA
"Ube2g1",NA,NA,57758.8,NA
"Myh11;Myh14;Myh9",16181.5,16274.7,13746.2,10840.8
"Itgb4",1147.94000001329,NA,1987.67000002301,NA
"Atp8a1",NA,NA,1292.38,NA
"Nebl",NA,NA,2778.45,NA
"Rbm17",4013.72958133136,NA,5037.12514998064,4902.64711122796
"Krt10;Krt13",487315.199911204,267039.120208785,82906.1887657391,49119.5325591457
"Qki",NA,NA,2506.14,3129.97
"Ap3s1",2032.19,2550.85,4097.76,NA
"Rtn3",4727.23999996421,6508.83999995071,7254.67566914576,6850.0246138638
"Eif4b",42239.6045844403,38441.2033241258,37399.3713765383,36687.7789086594
"Hlcs",11009.2,11284.5,14651.7,NA
"Snx1",10731.9590745032,3137.72999998414,6968.8714850794,NA
"Krt5;Krt6a;Krt75",34887.9,23446.7,16227.4,5768.94
"Iars2",NA,NA,5476.62,NA
"Kcnj10",4779.71,6743.33999999999,4970.2,8297.45
"Edc4",NA,NA,2100.89,NA
"Rpl15",8130.43,8518.25999999999,NA,6091.42
"Magi1",NA,NA,4089.67,4910.95
"Add1",21242.1438413858,20561.0671375161,19742.5736745175,17920.01926166
"Arhgap1",NA,NA,7298.57,NA
"Twf1",5503.93,6274.87999999999,6175.71,7722.4
"Alms1",NA,NA,1676.65,NA
"Sh3d21",3216417.71948171,3234848.63537551,3157678.47959067,2370769.27941163
"Lyz1",NA,NA,3997.17,NA
"Tgm2",2622.3,3293.14,2853.49,2713.73
"Cav2",NA,NA,3217.15,NA
"Limd1",5090.17,5145.4,2585.97,4237.65
"Krt4",63491.1,69583.9,NA,NA
"Rnf214",NA,NA,NA,2979.6
"Eif4a1",8675.80612363392,9684.0021938285,5902.91999995373,7947.74269130757
"Reps1",1521.93353248554,1664.63592693977,1953.61555231146,NA
"Slc25a4;Slc25a5",17258.1,19791.8,16189,NA
"Tmem263",NA,NA,1925.72,3091.52
"Ivd",NA,2510.85,NA,5518.24
"Slc2a1",33401.9381805664,38506.6017447092,47816.5397690628,38358.9949648689
"Dbnl",NA,4169.21,1622.97,NA
"Rps27a;Uba52;Ubb;Ubc",53042.8729569469,81998.2748916223,54488.9692203843,NA
"Dclk1",4373.83,8581.18,11030.9,3769.14
"Hsp90aa1",7002.16,6842.14,6177.50000000001,NA
"Dtx3l",6586.26,5550.22,6732.16,5974.67000000001
"Krt1",1801800,1871050,541101,NA
"Edc3",6268.34,4477.03,4943.45,4477.47
"Dbi",4463.31,4733.09,2050.47,NA
"H1-4",4107000,6562000.00000001,5216150,NA
"Sncb",10108.1,10301.3,13789.9,NA
"Champ1",NA,NA,3875.73,NA
"Nup214",3543.21,5493.88,5613.4,4801.73
"Septin7",NA,NA,15800.5,NA
"Gmds",5879.4,4674.37,5032.33,5309.24
"Sumo2;Sumo3",6081.09,8604.66000000001,9206.82999999999,4807.2
"Snrpd3",NA,NA,3536.09,NA
"Eprs1",8041.56068815899,6100.03552613041,5251.24519627657,10720.7871772852
"Mre11",NA,5379.61,2272.43,2803.49
"Cpt1a",NA,NA,NA,17193.1
"Atp2a1;Atp2a2",4153.42,4052.64,2657.17,2833.4
"Srp54",NA,NA,3277.66,NA
"Lzic",216383,178754,168715,150303
"Eef1a2",3549.86419275373,4154.20949010822,4065.47503087363,NA
"Cfdp1",6945.51,5197.63,6582.71,7081.35000000001
"Srsf2",11687.3,17140,7440.93,8298.99000000001
"Sdha",NA,NA,NA,4241.38
"Acaa2",17513.9,23089.3,26690.5,NA
"Mbnl1;Mbnl2",13633,14485.1,16037.9,NA
"Lims1",11442,9024.12000000001,10249.3,NA
"Echdc1",8235.58999999999,6810.54,8204.52999999999,7793.81
"Gpt2",NA,NA,NA,3105.42
"Nf2",10487.9,9587.68000000001,11992.5,9787
"Hibch",8483.12,7151.46,7813.43,NA
"Tdrp",13392.8,16368.3,15718,8914.54000000001
"Znf512",9386.82,NA,9185.6,5638.84
"Bsg",2669.54,NA,1566.73,2181.69
"Sfn",11364.1,NA,10727.2,13408
"Septin11;Septin8",10763.3,9418.86999999999,9664.08999999999,11484.1
"Add2",5785.11820931848,5231.58751250535,4440.44343253269,5818.79088303963
"Septin4",4906.63,5807.67,6391.62,4854.75
"Eno3",NA,NA,4297.98,NA
"Ahcy",NA,NA,9102.38000000001,5801.79
"Sprr1a",35406.1,27045.7,19308,NA
"Sf3a1",2242.03,3891.67,3609.96,4166.9
"Fam114a1",7288.76,8110.91,7536.95,7486.00999999999
"H2ac11;H2ac12;H2ac13;H2ac15;H2ac20;H2ac4;H2ac6;H2ac7;H2ac8;H2aj;H2aw;Hist1h2af;Hist1h2an;Hist1h2ao;Hist1h2ap;Hist2h2aa1",5708.15520571511,27544.5999997542,8365.84999992533,45751.3546327304
"Glod4",5514.18,6796.13,3974.49,NA
"Krt10;Krt16",996305.206816446,642241.962648138,301968.092348294,NA
"Aldh4a1",3774.19,NA,4590.46,NA
"Ddx46",9506.96999999999,5755.76000000001,9171.51,8776.32
"Sugp2",NA,NA,6141.26,NA
"Rab21",5430.41,NA,5309.51,6484.28
"Gmeb2",1830.89,NA,NA,NA
"Snx3",4943.54,8608.42,10895.1,10539.1
"Cr1l",NA,NA,9148.86999999999,NA
"Mtor",79642.6999999999,NA,61348.9,53632
"Chd4",NA,NA,6083.66,NA
"Krt1;Krt2;Krt5;Krt6a;Krt75;Krt79",148924.797367771,186628.990641961,48172.8443106615,32446.5222625936
"Krt12",64080.5,62183.7,NA,NA
"Klc2;Klc4",4140.43,3196.35,4860.37,4736.94
"Cd44",NA,NA,3459.53,NA
"Cplx1;Cplx2",7239.67,9347.39,13187.1,8885.00999999999
"Taf9;Taf9b",5597.07,NA,NA,3239.25
