"","CD4_naive","CD8_naive","Cytotoxic","Exhausted","Tr1","nTreg","iTreg","Th1","Th2","Tfh","Central_memory","Effector_memory","NKT","MAIT","DC","Bcell","Monocyte","Macrophage","NK","Neutrophil","Gamma_delta","CD4_T","CD8_T","InfiltrationScore","sampleID"
"X144_DRG_T_f_1",0.219,0.033,0,0.11,0.002,0,0.376,0.355,0.116,0.065,0.232,0.037,0.153,0.184,0.005,0.086,0.032,0.007,0.007,0.064,0.067,0,0.361,0.426,"X144_DRG_T_f_1"
"X145_DRG_T_m_4",0.217,0.027,0,0.106,0.005,0,0.377,0.349,0.113,0.061,0.229,0.033,0.146,0.178,0,0.164,0.025,0,0.001,0.058,0.062,0,0.353,0.424,"X145_DRG_T_m_4"
"X147_DRG_T_m_2",0.218,0.027,0,0.107,0.001,0,0.376,0.347,0.113,0.061,0.228,0.033,0.146,0.178,0.001,0.163,0.025,0.001,0.001,0.058,0.062,0,0.355,0.423,"X147_DRG_T_m_2"
"X148_DRG_T_m_1",0.217,0.034,0,0.11,0.003,0,0.379,0.349,0.12,0.067,0.233,0.034,0.152,0.18,0.006,0.099,0.031,0.004,0.006,0.065,0.071,0,0.357,0.426,"X148_DRG_T_m_1"
"X149_DRG_T_f_3",0.216,0.027,0,0.107,0.001,0,0.376,0.35,0.113,0.061,0.228,0.034,0.148,0.174,0.001,0.162,0.025,0.001,0,0.058,0.064,0,0.355,0.423,"X149_DRG_T_f_3"
"X152_DRG_T_f_4",0.221,0.046,0,0.118,0.007,0,0.379,0.36,0.126,0.075,0.237,0.039,0.159,0.196,0.015,0.095,0,0.017,0.016,0.078,0.078,0,0.294,0.433,"X152_DRG_T_f_4"
"X156_DRG_T_f_2",0.216,0.027,0,0.107,0.001,0,0.377,0.349,0.113,0.061,0.227,0.033,0.151,0.178,0.001,0.162,0.025,0.001,0.002,0.056,0.062,0,0.355,0.424,"X156_DRG_T_f_2"
"X164_DRG_T_m_3",0.218,0.033,0,0.111,0.002,0,0.376,0.349,0.116,0.065,0.232,0.034,0.149,0.18,0.004,0.168,0.031,0.006,0.005,0.065,0.069,0,0.287,0.424,"X164_DRG_T_m_3"
"X207_LSC_T_m_2",0.233,0.174,0.016,0.158,0.015,0,0.395,0.247,0.149,0.107,0.144,0,0.143,0.145,0.008,0.094,0.036,0.03,0.016,0.093,0,0.101,0.28,0.438,"X207_LSC_T_m_2"
"X211_LSC_T_f_3",0.239,0.187,0.03,0.166,0.018,0.004,0.399,0.138,0.162,0.123,0.112,0,0.157,0.161,0.021,0.104,0.051,0.044,0.033,0.102,0.008,0.112,0.283,0.45,"X211_LSC_T_f_3"
"X220_LSC_T_m_5",0.237,0.186,0.027,0.165,0.02,0,0.396,0.137,0.16,0.119,0.152,0,0.151,0.157,0.018,0.1,0.049,0.041,0.028,0.101,0.002,0.009,0.294,0.432,"X220_LSC_T_m_5"
"X221_LSC_T_f_5",0.252,0.088,0.034,0.172,0.016,0,0.398,0.259,0.157,0.115,0.155,0,0,0.16,0.017,0.102,0.047,0.041,0.027,0.101,0.002,0.108,0.284,0.429,"X221_LSC_T_f_5"
"X224_LSC_T_m_1",0.24,0.19,0.032,0.17,0.018,0.004,0.399,0.14,0.162,0.124,0.093,0,0.157,0.169,0.024,0.106,0.054,0.048,0.036,0.106,0.009,0.113,0.284,0.454,"X224_LSC_T_m_1"
"X225_LSC_T_f_6",0.181,0.18,0.021,0.164,0.023,0,0.395,0.253,0.153,0.109,0.145,0,0.149,0.153,0.011,0.094,0.042,0.035,0.021,0.096,0,0.104,0.281,0.442,"X225_LSC_T_f_6"
"X227_LSC_T_m_6",0.235,0.182,0.023,0.161,0.018,0,0.395,0.251,0.156,0.115,0.107,0,0.151,0.153,0.014,0.097,0.043,0.035,0.023,0.098,0.001,0.106,0.28,0.448,"X227_LSC_T_m_6"
"X228_LSC_T_f_2",0.181,0.18,0.021,0.164,0.024,0,0.392,0.25,0.153,0.109,0.146,0,0.149,0.153,0.011,0.094,0.042,0.034,0.021,0.096,0,0.104,0.282,0.441,"X228_LSC_T_f_2"
"X233_LSC_T_f_4",0.234,0.176,0.016,0.158,0.015,0,0.393,0.247,0.149,0.107,0.144,0,0.143,0.145,0.008,0.093,0.037,0.03,0.016,0.093,0,0.102,0.282,0.438,"X233_LSC_T_f_4"
"X236_LSC_T_f_1",0.24,0.182,0.031,0.167,0.017,0,0.393,0.252,0.156,0.115,0.147,0,0,0.149,0.013,0.096,0.043,0.035,0.023,0.097,0.001,0.106,0.283,0.431,"X236_LSC_T_f_1"
"X237_LSC_T_m_4",0.235,0.174,0.016,0.158,0.015,0,0.391,0.246,0.149,0.107,0.143,0,0.145,0.145,0.008,0.094,0.037,0.03,0.016,0.093,0,0.102,0.281,0.438,"X237_LSC_T_m_4"
"X240_LSC_T_m_3",0.187,0.186,0.037,0.175,0.026,0,0.394,0.255,0.159,0.116,0.151,0,0,0.16,0.019,0.101,0.05,0.042,0.031,0.101,0.003,0.109,0.283,0.438,"X240_LSC_T_m_3"
"X247_paw_T_m_2",0,0.253,0.341,0.18,0.144,0.073,0,0,0.262,0.239,0.138,0,0.282,0.358,0.027,0.005,0.193,0.124,0.197,0.155,0.106,0.152,0,0.547,"X247_paw_T_m_2"
"X251_paw_T_f_2",0,0.254,0.341,0.084,0.131,0.052,0.173,0,0.262,0.235,0.139,0,0.281,0.357,0.027,0.004,0.193,0.123,0.197,0.155,0.103,0.15,0,0.552,"X251_paw_T_f_2"
"X253_paw_T_m_4",0,0.247,0.337,0.173,0.128,0.052,0.175,0,0.258,0.232,0.115,0,0.277,0.353,0.023,0.002,0.189,0.122,0.195,0.153,0.101,0.147,0,0.556,"X253_paw_T_m_4"
"X254_paw_T_f_3",0,0.253,0.341,0.18,0.144,0.073,0,0,0.262,0.238,0.138,0,0.282,0.358,0.027,0.005,0.193,0.124,0.197,0.155,0.106,0.152,0,0.547,"X254_paw_T_f_3"
"X255_paw_T_f_4",0,0.259,0.174,0.1,0.141,0.05,0.177,0,0.266,0.242,0.148,0,0.288,0.381,0.036,0.011,0.162,0.136,0.125,0.164,0.109,0.156,0,0.53,"X255_paw_T_f_4"
"X257_paw_T_f_5",0,0.253,0.164,0.186,0.135,0.051,0.177,0,0.263,0.236,0.139,0,0.284,0.366,0.026,0.003,0.149,0.123,0.116,0.153,0.105,0.15,0,0.522,"X257_paw_T_f_5"
"X261_paw_T_m_1",0,0.246,0.336,0.17,0.128,0.052,0.173,0,0.258,0.231,0.132,0,0.276,0.348,0.022,0,0.187,0.117,0.193,0.149,0.1,0.146,0,0.553,"X261_paw_T_m_1"
"X266_paw_T_f_1",0,0.246,0.336,0.17,0.128,0.052,0.173,0,0.258,0.231,0.132,0,0.276,0.348,0.022,0,0.187,0.117,0.193,0.149,0.1,0.146,0,0.553,"X266_paw_T_f_1"
"X272_paw_T_m_3",0,0.246,0.336,0.17,0.128,0.052,0.173,0,0.258,0.231,0.132,0,0.276,0.348,0.022,0,0.187,0.117,0.193,0.149,0.1,0.146,0,0.553,"X272_paw_T_m_3"
"X170_SCN_T_m_4",0.038,0.207,0.139,0.145,0.115,0.045,0.157,0.099,0.236,0.207,0.112,0,0.048,0.301,0.032,0.109,0.173,0.11,0.063,0.195,0.084,0.123,0,0.464,"X170_SCN_T_m_4"
"X171_SCN_T_f_2",0.038,0.207,0.139,0.144,0.115,0.045,0.157,0.099,0.236,0.207,0.113,0,0.048,0.301,0.033,0.108,0.171,0.111,0.063,0.195,0.084,0.124,0,0.464,"X171_SCN_T_f_2"
"X175_SCN_T_f_5",0.039,0.213,0.143,0.149,0.118,0.045,0.158,0.103,0.239,0.211,0.115,0,0.051,0.307,0.038,0.112,0.134,0.115,0.068,0.199,0.086,0.127,0,0.469,"X175_SCN_T_f_5"
"X177_SCN_T_f_6",0.039,0.207,0.139,0.145,0.115,0.045,0.157,0.099,0.236,0.207,0.112,0,0.048,0.301,0.033,0.108,0.171,0.11,0.063,0.195,0.084,0.123,0,0.464,"X177_SCN_T_f_6"
"X178_SCN_T_m_1",0.04,0.215,0.144,0.152,0.117,0.044,0.16,0.106,0.239,0.21,0.121,0,0.053,0.313,0.041,0.063,0.181,0.07,0.072,0.203,0.087,0.129,0.001,0.468,"X178_SCN_T_m_1"
"X181_SCN_T_m_3",0.041,0.213,0.145,0.149,0.117,0.052,0.157,0.104,0.243,0.213,0.119,0,0.052,0.306,0.04,0.025,0.179,0.117,0.07,0.2,0.088,0.129,0.002,0.468,"X181_SCN_T_m_3"
"X183_SCN_T_m_2",0.041,0.222,0.149,0.156,0.12,0.045,0.155,0.109,0.243,0.215,0.122,0,0.056,0.319,0.046,0.067,0.146,0.075,0.077,0.207,0.09,0.132,0.004,0.473,"X183_SCN_T_m_2"
"X185_SCN_T_f_4",0.039,0.209,0.142,0.146,0.115,0.05,0.158,0.101,0.239,0.211,0.113,0,0.048,0.305,0.04,0.113,0.178,0.117,0.071,0.2,0.086,0.129,0.003,0.476,"X185_SCN_T_f_4"
"X187_SCN_T_f_3",0.038,0.207,0.139,0.145,0.115,0.045,0.155,0.1,0.236,0.207,0.112,0,0.049,0.301,0.032,0.108,0.171,0.11,0.063,0.195,0.084,0.124,0,0.464,"X187_SCN_T_f_3"
"X197_SCN_T_f_1",0.038,0.207,0.139,0.145,0.115,0.045,0.157,0.099,0.236,0.207,0.112,0,0.048,0.301,0.034,0.108,0.171,0.11,0.063,0.195,0.084,0.123,0,0.464,"X197_SCN_T_f_1"
"X881_dLSC_f1_5.27.2024.d",0.073,0.233,0.425,0.046,0.29,0,0.291,0.249,0.271,0.43,0.018,0,0.139,0.277,0.3,0.096,0.092,0.053,0.215,0.062,0.081,0.528,0.231,0.745,"X881_dLSC_f1_5.27.2024.d"
"X882_dLSC_m1_5.27.2024.d",0.072,0.23,0.424,0.043,0.291,0,0.292,0.248,0.259,0.425,0.031,0,0.139,0.272,0.299,0.092,0.086,0.051,0.209,0.053,0.079,0.527,0.229,0.737,"X882_dLSC_m1_5.27.2024.d"
"X883_dLSC_m2_5.27.2024.d",0.065,0.231,0.409,0.137,0.285,0,0.292,0.25,0.271,0.428,0.03,0,0.138,0.265,0.295,0.092,0.041,0.053,0.212,0.06,0.243,0.527,0.231,0.772,"X883_dLSC_m2_5.27.2024.d"
"X884_dLSC_f3_5.27.2024.d",0.09,0.222,0.407,0.131,0.282,0,0.291,0.244,0.262,0.422,0.023,0,0.14,0.248,0.293,0.088,0.083,0.046,0.206,0.051,0.24,0.524,0.226,0.766,"X884_dLSC_f3_5.27.2024.d"
"X885_dLSC_f2_5.27.2024.d",0.071,0.233,0.413,0.138,0.292,0,0.295,0.258,0.275,0.422,0.037,0,0.14,0.262,0.24,0.101,0.047,0.058,0.089,0.064,0.252,0.533,0.235,0.755,"X885_dLSC_f2_5.27.2024.d"
"X886_dLSC_m3_5.27.2024.d",0.083,0.245,0.187,0.154,0.294,0,0.298,0.27,0.285,0.432,0.046,0,0.155,0.29,0.245,0.104,0.055,0.061,0.096,0.072,0.261,0.536,0.239,0.747,"X886_dLSC_m3_5.27.2024.d"
"X889_LDRG_898_5.28.2024.d",0.209,0,0.153,0.126,0,0.85,0.413,0.182,0.192,0.417,0.057,0.013,0.187,0.268,0.258,0.114,0.172,0.108,0.268,0.086,0.25,0.524,0.213,0.857,"X889_LDRG_898_5.28.2024.d"
"X890_LDRG_1248_5.28.2024.d",0.184,0.097,0.151,0.122,0,0.843,0.41,0.158,0.169,0.697,0.038,0,0.173,0.257,0.25,0.101,0.196,0.1,0.266,0.135,0.243,0.518,0.203,0.9,"X890_LDRG_1248_5.28.2024.d"
"X891_LDRG_1095_5.28.2024.d",0.166,0.28,0.149,0.121,0,0.851,0.409,0.151,0.168,0.7,0,0,0.174,0.251,0.248,0.136,0.197,0.1,0.169,0.046,0.237,0.522,0.203,0.894,"X891_LDRG_1095_5.28.2024.d"
"X892_LDRG_1236_5.28.2024.d",0.193,0.101,0.151,0.115,0,0.851,0.41,0.169,0.178,0.413,0.077,0.006,0.174,0.257,0.251,0.102,0.146,0.1,0.267,0.135,0.233,0.522,0.206,0.857,"X892_LDRG_1236_5.28.2024.d"
"X893_LDRG_1094_5.28.2024.d",0.203,0.11,0.156,0.131,0,0.857,0.416,0.185,0.209,0.415,0.059,0.009,0.193,0.268,0.265,0.124,0.124,0.116,0.176,0,0.254,0.529,0.212,0.849,"X893_LDRG_1094_5.28.2024.d"
"X894_LDRG_1249_5.28.2024.d",0.179,0.273,0.145,0.117,0,0.851,0.409,0.162,0.164,0.411,0.035,0,0.17,0.248,0.248,0.097,0.142,0.101,0.266,0.131,0.232,0.52,0.204,0.865,"X894_LDRG_1249_5.28.2024.d"
"X896_paw_pool_5.28.2024.d",0.052,0.361,0.383,0,0,0.85,0.429,0.153,0.04,0,0.022,0,0.441,0,0.061,0.231,0.287,0.194,0.167,0.168,0.035,0.497,0.247,0.782,"X896_paw_pool_5.28.2024.d"
"X897_paw_f_5.28.2024.d",0.078,0.266,0.199,0,0,0.856,0.435,0.165,0.041,0,0.033,0,0.449,0,0.068,0.237,0.291,0.196,0.17,0.17,0.048,0.5,0.253,0.755,"X897_paw_f_5.28.2024.d"
"X898_paw_m_5.28.2024.d",0.055,0.362,0.386,0,0,0.85,0.431,0.154,0.04,0,0.01,0,0.442,0,0.063,0.232,0.289,0.197,0.168,0.168,0.039,0.497,0.247,0.784,"X898_paw_m_5.28.2024.d"
"X901_SCN_IIa2_5.28.2024.d",0.134,0.254,0.172,0.042,0,0.861,0.43,0.209,0,0,0,0,0.355,0.294,0.214,0.227,0.227,0.1,0.211,0.112,0,0.542,0.223,0.78,"X901_SCN_IIa2_5.28.2024.d"
"X902_SCN_IIa3_5.28.2024.d",0.131,0.245,0.171,0.037,0,0.861,0.428,0.133,0.002,0,0,0,0.354,0.283,0.192,0.295,0.222,0.096,0.211,0.206,0,0.531,0.275,0.792,"X902_SCN_IIa3_5.28.2024.d"
"X903_SCN_IIb2_5.28.2024.d",0.13,0.243,0.166,0.039,0,0.861,0.425,0.108,0,0,0,0,0.347,0.28,0.209,0.298,0.218,0.094,0.208,0.198,0,0.528,0.279,0.784,"X903_SCN_IIb2_5.28.2024.d"
"X904_SCN_IIb3_5.28.2024.d",0.126,0.242,0.164,0.031,0,0.861,0.426,0.192,0,0,0,0,0.348,0.28,0.208,0.292,0.216,0.09,0.205,0.197,0,0.529,0.275,0.793,"X904_SCN_IIb3_5.28.2024.d"
"X905_SCN_IIa4_5.28.2024.d",0.125,0.245,0.169,0.038,0,0.854,0.424,0.2,0,0,0,0,0.346,0.284,0.213,0.295,0.219,0.094,0.209,0.192,0,0.536,0.219,0.79,"X905_SCN_IIa4_5.28.2024.d"
"X906_SCN_IIb1_5.28.2024.d",0.105,0.181,0.204,0.04,0,0.875,0.447,0.045,0.027,0,0.043,0,0.153,0.311,0.244,0.171,0.19,0.132,0.233,0.041,0.029,0.435,0.325,0.717,"X906_SCN_IIb1_5.28.2024.d"
